doi_prefix,publisher_2022,publisher_2013
10.54516,The Chromatographic Society,
10.54489,"Global Academic Forum on Technology, Innovation And Management (GAFTIM)",
10.18578,Royal Pharmaceutical Society,
10.54520,The Independent Research Institute of Mongolia,
10.47674,Bristol University Press,
10.46692,Bristol University Press,
10.51952,Bristol University Press,
10.54467,Turkish Journal of Applied Social Work,
10.54468,State Research Institute of Organic Chemistry and Technology,
10.54466,Editora SORIAN,
10.54521,FOI-Commerce,
10.54473,Trendytech Publishers,
10.54478,Udruga kineziologa Rijeka,
10.54517,Asia Pacific Academy of Science Pte. Ltd.,
10.1630,SAGE Publications,
10.47594,SAGE Publications,
10.47515,SAGE Publications,
10.31124,SAGE Publications,
10.15256,SAGE Publications,
10.14240,SAGE Publications,
10.17322,SAGE Publications,
10.54479,BSE Press,
10.54481,Free International University of Moldova,
10.54482,"INSPARAGON-Masyarakat Indonesia untuk Partisipasi, Sains Terapan, Teknologi, Sosial dan Pembangunan Manusia",
10.54484,"Pusat Penelitian dan Pengabdian Pada Masyarakat, Politeknik Negeri Nusa Utara",
10.54483,Southern African Institute of Government Auditors,
10.1190,Society of Exploration Geophysicists,
10.54562,utb GmbH,
10.36198,utb GmbH,
10.54604,Institut Agama Islam Negeri Takengon,
10.54522,The Vascular Society of Great Britain and Ireland,
10.15653,Georg Thieme Verlag KG,
10.15654,Georg Thieme Verlag KG,
10.1160,Georg Thieme Verlag KG,
10.15265,Georg Thieme Verlag KG,
10.54488,Canada Research Chair in Interpersonal Traumas and Resilience,
10.54494,Korea Petroglyphs Research Association,
10.54493,TROAS Uluslararasi Turizm Arastirmalari Dernegi,
10.54680,CryoLetters Limited Liability Partnership,
10.5950,University of Chicago Press,
10.54500,NpJSC &quot;Astana Medical University&quot;,
10.54501,Stanford Internet Observatory,
10.54502,Unidad Central del Valle del Cauca,
10.54507,Ministerio da Infraestrutura,
10.54977,University of Massachusetts Global,
10.54531,Adi Health+Wellness,
10.54506,The Wroblewski Library of the Lithuanian Academy of Sciences,
10.54536,E-palli,
10.54504,Professional Medical Association of Osteopathy and Manual Medicine Specialists &quot;Association of Osteopaths&quot;,
10.34916,STUDIO NOA,
10.54509,Kuzbass Regional Institute for Vocational Education Development,
10.54508,Universitatea de Arhitectura si Urbanism Ion Mincu,
10.34133,American Association for the Advancement of Science (AAAS),
10.54664,&quot;St. Cyril and St. Methodius&quot; University of Veliko Tarnovo,
10.15428,American Association for Clinical Chemistry (AACC),
10.54560,The Journal of Risk Analysis and Crisis Response,
10.37206,American Association of Physicists in Medicine (AAPM),
10.54513,Veda Publications,
10.29357,Eastern European Institute of Theology,
10.54616,International Engineering and Science Publications (IES),
10.54588,Fundacion ProAves de Colombia,
10.14694,American Society of Clinical Oncology (ASCO),
10.1200,American Society of Clinical Oncology (ASCO),
10.54614,Cordus,
10.54609,Pro Global Science Association,
10.31981,The Company of Biologists,
10.54561,Center for Study of Religion and Religious Tolerance,
10.54670,"FCA PACTOR Editores, Lda.",
10.31220,CABI Publishing,
10.54527,The Korean Academy of Implant Dentistry,
10.54524,BATHINVS Association,
10.14224,Cold Spring Harbor Laboratory,
10.1110,Cold Spring Harbor Laboratory,
10.54523,The Korea Academy of Global Business and Trade,
10.54526,Sekolah Tinggi Ilmu Ekonomi Pontianak,
10.54525,Turkiye Bilisim Vakfi,
10.54529,The Algerian Journal of Mass Media and Public Opinion research,
10.54528,Abhath,
10.54586,Societas Celto-Slavica,
10.1130,Geological Society of America,
10.54646,BOHR Publishers,
10.54535,Research on Education and Psychology,
10.54897,Kommission fur bayerische Landesgeschichte bei der Bayerischen Akademie der Wissenschaften,
10.54729,Beirut Arab University,
10.30941,Institute of Electrical and Electronics Engineers (IEEE),
10.21629,Institute of Electrical and Electronics Engineers (IEEE),
10.47962,Institute of Electrical and Electronics Engineers (IEEE),
10.15325,Institute of Electrical and Electronics Engineers (IEEE),
10.36227,Institute of Electrical and Electronics Engineers (IEEE),
10.23919,Institute of Electrical and Electronics Engineers (IEEE),
10.54537,Turkiye Saglik Enstituleri Baskanligi,
10.1070,IOP Publishing,
10.35848,IOP Publishing,
10.54590,Canadian Institute for Studies in Publishing,
10.54538,Public Health Association of Tajikistan,
10.54541,Aprender en Red,
10.54540,"Institute of Social Sciences, Incheon National University",
10.54539,Panstwowa Uczelnia Zawodowa im. Ignacego Moscickiego w Ciechanowie,
10.1270,Japanese Society of Breeding,
10.52926,Japan Science and Technology Agency (JST),
10.54542,INBRAEDH - Instituto Brasileiro de Educacao e Desenvolvimento Humano,
10.54546,Joint Institute for Nuclear Research,
10.54543,Rifa Institute,
10.14309,Ovid Technologies (Wolters Kluwer Health),
10.46986,Ovid Technologies (Wolters Kluwer Health),
10.54544,Imago.by - Old maps and prints,
10.54545,Korea Society of Public Design,
10.54607,Ho Chi Minh University of Education,
10.31859,MIT Press - Journals,
10.1260,Multi-Science Publishing Co. Ltd.,
10.5740,Oxford University Press (OUP),
10.54655,Universidad Nacional Ciro Alegria,
10.54557,KTO Karatay University,
10.47673,Rockefeller University Press,
10.25993,Fersman Mineralogical Museum of the Russian Academy of Sciences,
10.54824,Research Institute of Crop Husbandry,
10.1360,"Science China Press., Co. Ltd.",
10.54669,"Center for Religion, Culture and Democracy",
10.54823,Shackleton Research Trust Corp,
10.1290,Society for In Vitro Biology,
10.1140,Springer Science and Business Media LLC,
10.33283,Springer Science and Business Media LLC,
10.26777,Springer Science and Business Media LLC,
10.26778,Springer Science and Business Media LLC,
10.19150,Springer Science and Business Media LLC,
10.17269,Springer Science and Business Media LLC,
10.54653,"Petroleum Engineering School, Southwest Petroleum University",
10.1380,Surface Science Society Japan,
10.54681,Masaryk Institute and Archives of the Czech Academy of Sciences,
10.54778,Sociedad Argentina de Medicina Reproductiva,
10.3810,Informa UK Limited,
10.1080,Informa UK Limited,
10.3110,Informa UK Limited,
10.1300,Informa UK Limited,
10.3200,Informa UK Limited,
10.54663,Instituto Superior de Entre Douro e Vouga,
10.54568,Sekolah Tinggi Ilmu Kesehatan As Syifa Kisaran,
10.54566,Turkish Academic Studies,
10.54565,Journal of Physical Chemistry and Functional Materials,
10.54567,University of Science and Technology of Oran Mohamed-Boudiaf,
10.1350,Vathek Publishing,
10.53179,EB-Verlag Dr. Brandt,
10.54656,"The University of Alabama, Division of Community Affairs",
10.1890,Wiley,
10.21815,Wiley,
10.14814,Wiley,
10.3170,Wiley,
10.18934,Wiley,
10.54571,Real Centro Universitario Escorial-Maria Cristina,
10.54569,International Conference on Artificial Intelligence and Applied Mathematics in Engineering,
10.1250,Acoustical Society of Japan,
10.54648,Kluwer Law International BV,
10.29200,American Chemical Society (ACS),
10.26434,American Chemical Society (ACS),
10.47287,American Chemical Society (ACS),
10.54573,Suomalainen lakimiesyhdistys,
10.54574,Institutul de Cercetare Dezvoltare pentru Protectia Plantelor Bucuresti,
10.54572,The Finnish Society of Sciences and Letters,
10.54578,Centro Universitario do Espirito Santo,
10.54576,LPPM Sekolah Tinggi Agama Islam Lukman Edy,
10.54575,Comite Brasileiro de Historia da Arte,
10.54579,Pusat Laboratorium Forensik (Puslabfor) Badan Reserse Kriminal (Bareskrim) Kepolisian Negara Republik Indonesia,
10.54720,Bilad Alrafidain University College,
10.54759,"Institute of Art History, Czech Academy of Sciences",
10.54580,Associacao Multidisciplinar de Investigacao Cientifica,
10.54584,Life and Medical Sciences,
10.54592,Sekolah Tinggi Teologi Anugrah Indonesia,
10.54593,Akademi Manajemen Informatika dan Komputer Widya Loka Medan,
10.24196,Public Library of Science (PLoS),
10.54595,"Economics and Business Faculty, Pertamina University",
10.54594,Publishing Center &quot;Nizhny Novgorod Lawyer&quot;,
10.54596,Non-profit limited company &quot;Manash Kozybayev North Kazakhstan University&quot;,
10.54601,Ukrainian Society of Physical and Rehabilitation Medicine,
10.54645,Philippine-American Academy of Science and Engineering,
10.54872,"gta Verlag, ETH Zurich",
10.54728,Bangladesh Institute of Capital Market,
10.54647,scirea,
10.54602,Genc Akademisyenler Birligi Dernegi,
10.54799,Johanna Mestorf Academy of Kiel University,
10.32089,Drukarnia AMW,
10.54599,Kulugyi Muhely Alapitvany,
10.54598,Magyar Agrar- es Elettudomanyi Egyetem,
10.54597,MATE Press,
10.54822,ICT Institute,
10.54671,Bulletin of Mathematical Analysis and Applications Research Institute,
10.54605,"Institute for Advanced Research, Shanghai University of Finance and Economics",
10.1500,University of Nebraska Press (Project Muse),
10.54810,The Australia and New Zealand School of Government (ANZSOG),
10.1490,Indiana University Press (Project Muse),
10.14432,Walter de Gruyter GmbH,
10.26363,Walter de Gruyter GmbH,
10.54617,Ankara Dis Hekimleri Odasi,
10.54618,Society for Medical and Allied Health Sciences,
10.54620,Escola de Saude Publica do Ceara,
10.54619,Politeknik Karya Persada Muna,
10.54621,Institut Agama Islam (IAI) Al-Aziziyah Samalanga Bireuen Aceh,
10.54622,Universitas Nahdlatul Ulama Surakarta,
10.1520,ASTM International,
10.54761,"Occupational Therapy, Central University of Chile",
10.54625,Sekolah Tinggi Ilmu Ushuluddin Al Mujtama' Pamekasan,
10.54628,Faculdade de Tecnologia de Jahu,
10.54630,Sekolah Tinggi Ilmu Keperawatan Muhammadiyah Pontianak,
10.54629,Direktorat Jenderal Peraturan Perundang-undangan Kementerian Hukum dan Hak Asasi Manusia Republik Indonesia,
10.54626,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Bogor,
10.54627,Turkish National Police Academy,
10.54631,Far Eastern Studies of the Russian Academy of Sciences,
10.54638,Sociedad Ginecotocologica del Uruguay,
10.54637,Vizetek Publishing Company,
10.54634,Faculty of Pharmacy Cairo University,
10.54633,Maisan Journal of Academic Studies,
10.54643,"Journal of Educational Sciences, Prince Sattam bin Abdulaziz University",
10.31931,BioOne,
10.54660,Anfo Publication House,
10.54846,American Association of Swine Veterinarians,
10.54651,National Scientific Centre &quot;Institute of Agriculture of the National Academy of Agrarian Sciences of Ukraine&quot;,
10.54662,Mykolaiv In-Service Teachers Training Institute,
10.54668,Republican State Enterprise &quot;Kazhydromet&quot;,
10.54657,Thomas More University of Applied Sciences,
10.1530,Bioscientifica,
10.54650,"Lembaga Penelitian, Pengabdian Masyarakat, Penerbitan dan Percetakan Yayasan Sejahtera Bersama Bengkulu",
10.55017,ULUM Islami Ilimler Egitim ve Arastirma Merkezi Dernegi,
10.54659,ULUM Islami Ilimler Egitim ve Arastirma Merkezi Dernegi,
10.54649,Caspian University,
10.54658,E-SCIENCE SPACE,
10.54885,"University of Bucharest, Faculty of Political Science",
10.1560,Laser Pages Publishing Ltd.,
10.54666,Beam Journal of Economic Studies,
10.54985,Peeref,
10.54739,Peaceful Science,
10.54787,Caspian Corrosion Control LLC,
10.54730,AAR Press Limited,
10.1540,Japan Society of Smooth Muscle Research,
10.53178,Kieferorthopadische Interessengemeinschaft e.V.,
10.54937,Catholic University in Ruzomberok,
10.54731,European Sustainable Research Outreach,
10.54682,"Instituto Capixaba de Pesquisa, Assistencia Tecnica e Extensao Rural",
10.54684,Asociatia Profesionala in Tehnologii Moderne de Fabricatie,
10.54685,The Korean Association for Philosophy of Medicine,
10.54686,"Programa de Pos-Graduacao Projeto e Cidade, Universidade Federal de Goias",
10.54687,Badan Perencanaan Pembangunan Daerah dan Penelitian dan Pengembangan,
10.54689,Editorial Office of Acta of Geoscientific Data & Discovery,
10.54698,Liberal Arts Innovation Center,
10.54700,Sretenskaya Theological Academy,
10.54697,Limited Liability Company &quot;Center for Social Agroinnovations of SSAU&quot;,
10.54696,"Irkutsk Scientific Center, Siberian Branch of the Russian Academy of Sciences",
10.54910,Society for the Advancement of Breeding Research in Asia and Oceania,
10.54691,Boya Century Publishing,
10.47886,American Fisheries Society,
10.54693,Pakistan Institute of Chemical Engineers,
10.54690,"National Defence University, Islamabad",
10.54692,Lahore Garrison University,
10.54695,MA-ESKA Editions,
10.54705,Daedong Culture Technology Institute,
10.54875,BULUS Design and Printing Services Company,
10.54707,"Stratejik, Sosyal ve Kulturel Arastirma Dernegi",
10.54711,"The Institute of Social Sciences, Kookmin University",
10.54710,Academy of Practical Business Administration,
10.54708,Ufa State Aviation Technical University,
10.54713,National Fire Research Institute of Korea,
10.54714,Sekolah Tinggi Hindu Dharma Klaten Jawa Tengah,
10.54715,Editora Arquetipos Ltda,
10.54709,Toros Universitesi,
10.54706,Akademi Angkatan Udara,
10.54780,International Association of Sedimentologists,
10.54768,Youtharxiv Preprint,
10.54722,Cumhurbaskanligi Iletisim Baskanligi,
10.54915,Wisconsin Geological and Natural History Survey,
10.54726,Research Institute of Industrial Science and Technology,
10.54724,Life Cycle,
10.54725,South African Theological Seminary,
10.54769,Scholar Freedom Pty Ltd,
10.54727,Escola Superior de Ciencias da Saude da Santa Casa de Misericordia de Vitoria,
10.54734,Penza State University of Architecture and Construction,
10.54733,Sosyal Mucit Academic Review,
10.54735,Sekolah Tinggi Teologi Happy Family,
10.54738,Hexa Publishers,
10.54736,Editora Schoba,
10.54741,Singh Publication,
10.54743,Finnish Society for Byzantine Studies,
10.54742,Neprazi Muzeum,
10.54744,Publishing Polygraphy Center &quot;Express&quot; Ltd.,
10.54752,Calisma ve Toplum,
10.54753,Universidad Nacional de Loja,
10.54782,Weather Modification Association,
10.54755,Lembaga Kajian Pertahanan Strategis,
10.54754,Korean Association for Public Translation and Interpretation,
10.54756,SRS Prints,
10.54762,advancesin,
10.26417,Revistia,
10.54758,Sumgait State University,
10.54779,Czech Chemical Society,
10.1590,FapUNIFESP (SciELO),
10.21800,FapUNIFESP (SciELO),
10.21762,FapUNIFESP (SciELO),
10.54788,Wesleyan University Philippines,
10.54841,The Historical Metallurgy Society Ltd,
10.54808,International Institute of Informatics and Cybernetics,
10.54820,Association for Advancing Innovation and Research in Economy &quot;Irenet&quot;,
10.54764,&quot;Russian collection SPb&quot; Company Limited,
10.54765,Sekolah Tinggi Teologi Kadesi Bogor,
10.54766,Associacao Brasileira de Estudos Regionais e Urbanos,
10.54772,Vietnam Institute for Building Materials,
10.54771,Universitas Binawan,
10.54774,Autoridad Nacional del Servicio Civil - Servir,
10.54773,Perhimpunan Dokter Gizi Klinik Indonesia,
10.54770,LLC &quot;Brave Design&quot;,
10.54777,Economic Challenger,
10.54843,"The Immigrant Learning Center, Inc.",
10.54854,"Cross Labs, Cross-Compass",
10.54873,The British University in Egypt,
10.54800,Association Francaise d'Agronomie,
10.54775,All-Russian Professional Psychotherapeutic League (PPL Russia),
10.19147,World Bank,
10.54785,TURAN International Journal of Social Sciences and Humanities,
10.54786,"Revista Eletronica Internacional de Economia Politica da Informacao, da Comunicacao e da Cultura",
10.54783,Goacademica Research and Publishing,
10.54784,"IBA Karachi, Business Review",
10.54886,Ibersid,
10.54983,Badan Nasional Penanggulangan Bencana,
10.54809,Kurdistan Institution for Strategic Studies and Scientific Research,
10.54825,Radical Housing Journal,
10.1600,American Society of Plant Taxonomists,
10.54791,LLC Litfact Publisher,
10.54795,Escola Nacional de Formacao e Aperfeicoamento de Magistrados,
10.54792,Society of Culture of Prinemanya,
10.54794,Global Venture Strategy Lab,
10.54793,Sekolah Tinggi Teologi Bethel The Way Jakarta,
10.54844,Spring Media Publishing,
10.54801,Sekolah Tinggi Agama Islam Persis Bandung,
10.54802,University of Antofagasta,
10.54797,Foreningen for utgivande av Tidskrift for litteraturvetenskap,
10.54796,Biotechnology Society of Nepal,
10.54804,Le Huu Trac National Burn Hospital,
10.54805,Associacao de Pesquisadores em Economia Catarinense,
10.54939,Academy of Military Science and Technology,
10.54806,Finekonomservis 2000 LLC,
10.54807,Foreningen Kulturella Perspektiv,
10.54812,Acta Botanica,
10.54811,Penerbit Deepublish,
10.54878,Emirates Scholar,
10.26117,Institute of Cosmophysical Research and Radio Wave Propagation Far Eastern Branch of the Russian Academy of Sciences,
10.54857,Bangladesh Institute for Information Literacy and Sustainable Development,
10.54881,Centre for Polish-Russian Dialogue and Understanding,
10.54816,Universitas Kader Bangsa Palembang,
10.54815,Institute of Gaya Culture,
10.54828,The Indonesian Journal of Socio-Legal Studies,
10.54855,Asia Association of Computer Assisted Language Learning,
10.54819,Author's Club,
10.54821,International Journal of Business and Economic Studies,
10.54826,Central Scientific Research Institute of Ferrous Metallurgy named after I.P. Bardeen,
10.54818,Sociedad Boliviana de Cirugia Plastica,
10.1620,Tohoku University Medical Press,
10.54830,Museo Nacional de Historia Natural,
10.54931,FSG Communications Ltd,
10.54827,Centro Brasileiro de Relacoes Internacionais (CEBRI),
10.54829,Conselho Nacional de Justica,
10.54933,University of Presov - Faculty of Management and Business,
10.54871,Consejo Latinoamericano de Ciencias Sociales,
10.54856,Islerya Medikal ve Bilisim Teknolojileri,
10.54934,International Journal of Law in Changing World,
10.54837,ANO &quot;Scientific and Research Center for Information in Physics and Technique&quot;,
10.54838,Degisim Yayinlari,
10.54835,All-Russian public organization &quot;Association for Engineering Education of Russia&quot;,
10.54834,Kyrgyz-Uzbek International University named after B.Sydykov,
10.54908,"Faculty of Physical Sciences, University of Ilorin",
10.54842,Terazi Yayincilik,
10.54839,Krupanidhi College of Physiotherapy,
10.54840,Universitas Widya Dharma Klaten,
10.54848,UK Bright Horizons,
10.54849,Badan Pengembangan Sumber Daya Manusia Provinsi DKI Jakarta,
10.54850,Journal for Research Scholars and Professionals of English Language Teaching,
10.54984,Limited Liability Company &quot;Yustitsinform&quot;,
10.54859,KMG Engineering,
10.54858,State Research Institute of Aviation,
10.54860,Bilgi Ekonomisi ve Yonetimi Dergisi,
10.54942,Universidad Nacional de Educacion Enrique Guzman y Valle - Vicerrectorado de Investigacion,
10.54862,Paramedik ve Acil Saglik Hizmetleri Dergisi,
10.54861,Individual entrepreneur Panina Kristina Ivanovna,
10.54867,STIKes Mahardika Cirebon,
10.54866,Interregional Association for Emergency Surgery,
10.54870,"University of Montana, Maureen and Mike Mansfield Library",
10.54943,Universidad Nacional de Huancavelica,
10.54932,Centre interuniversitaire de recherche en analyse des organisations (CIRANO),
10.54876,Global E Smart Technologies,
10.54877,Sekolah Tinggi Ilmu Kesehatan Mitra Husada Karanganyar,
10.55039,Sri Bhalaji Research and Training Institute,
10.54880,Korean Life Play Therapy Association,
10.54879,Instituto Federal Goiano,
10.54935,Peer-Led Team Learning International Society,
10.54883,Lembaga Penelitian dan Pengabdian Masyarakat Universitas Mandala Waluya,
10.54944,Institute of Zoology CS MES of the Republic of Kazakhstan,
10.34759,Moscow Aviation Institute (National Research University),
10.48556,Societe Informatique de France (SIF),
10.54936,Ioannis Karkatzoulis Ltd,
10.54884,The Federal State Budget Scientific Institution &quot;Institute of Education Management of the Russian Academy of Education (IEM RAE)&quot;,
10.54946,Wilmott Magazine Ltd,
10.54941,AHFE International,
10.54105,Lattice Science Publication (LSP),
10.54887,Instituto de la Democracia,
10.54889,ACADEMIA ANALITICA-Society for Development of Logic and Analytic Philosophy in B&H,
10.54890,Kyrgyz State Medical Academy named after I.K. Akhunbaev,
10.54891,"Communal Institution of Higher Education, “DNIPRO Academy of Continuing Education”",
10.54938,Publishing House International Enterprise,
10.54988,Asociacion United Academic Journals,
10.55010,Ibrahim Medical College,
10.54892,Sekolah Tinggi Ilmu Tarbiyah Pringsewu,
10.54945,O P Jindal Global University,
10.54895,Universitas Baturaja,
10.54894,Indian Society of Coastal Agricultural Research,
10.54896,"Transactions of the Geological Institute, Geological Institute RAS",
10.54904,Biota-Plus,
10.54902,Badan Penelitian dan Pengembangan Daerah Kota Samarinda,
10.54905,Discovery Scientific Society,
10.1680,Thomas Telford Ltd.,
10.54903,Mahopadhyay Pandit Ganesh Dutt Tripathi Shaikshanik Dharmik Paramarthik Nyas,
10.34067,American Society of Nephrology (ASN),
10.54954,Asociacion de Ensinantes de Ciencias de Galicia,
10.54912,Korean Society of Interventional Cardiology,
10.54911,"Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Daerah (Bappeda) Kota Pekalongan",
10.54909,Fundacao Medica,
10.54906,FoRM - Forschungsinstitut RheinMain fur Soziale Arbeit,
10.54907,Sciendy Academic Publishing,
10.54913,Human and Nature Association,
10.54963,UK Scientific Publishing Limited,
10.54917,Fase20 S.L.,
10.54918,Sekolah Tinggi Ilmu Ekonomi Yasa Anggana Garut,
10.54916,"Aalto University, School of Arts, Design and Architecture, Department of Arts",
10.54914,Sekolah Tinggi Teknologi Terpadu Nurul Fikri,
10.25587,M. K. Ammosov North-Eastern Federal University,
10.23761,Russian Society for the Study of Religion,
10.54953,Lambertus-Verlag GmbH,
10.54925,K.A. Timiryazev Institute of Plant Physiology Russian Academy of Sciences,
10.54922,Alpinus Publication,
10.54920,Swiss Clinical Trial Organisation,
10.54924,Institute of Post Literature,
10.54921,In-Trend,
10.54923,TRANSBAHASA,
10.54928,Vietnam Association of Physiology,
10.54930,Turkish Institute of Archaeology and Cultural Heritage,
10.54929,Research and Educational Innovation Center of Social Transformations,
10.54927,K-Society of Culture and Convergence,
10.54926,TMMOB Gemi Muhendisleri Odasi,
10.55005,Serbian Neurosurgical Society,
10.54999,Centre for Law and Policy Research,
10.54989,Lucian Blaga University of Sibiu,
10.54986,Society of Extension Education Agra,
10.54987,Hibiscus Publisher Enterprise,
10.20467,Springer Publishing Company,
10.54950,National Educational Center LLC,
10.54949,Korean After-School Study Association,
10.54951,Assosiasi Dosen Akuntansi Indonesia,
10.54952,National Center for Human Rights of the Republic of Uzbekistan,
10.54955,Indian Spectroscopy Society,
10.55014,Research Center of Life and Social Science,
10.54960,University of Oum Elbouaghi,
10.54961,Turkish Federation of the Blind Person,
10.54957,PT WIM Solusi Prima,
10.54959,Market Guide Agency,
10.54964,Fakultas Ekonomi dan Bisnis Universitas Satya Negara Indonesia,
10.31881,idd3,
10.54965,Moscow Physics Society,
10.54962,Antibiyotik ve Kemoterapi Dernegi,
10.6914,"Creative Publishing Co., Limited",
10.6913,"Creative Publishing Co., Limited",
10.6938,"Creative Publishing Co., Limited",
10.29655,"Creative Publishing Co., Limited",
10.54966,Centre de Developpement des Energie Renouvelables,
10.54967,Archive of the Russian Academy of Sciences,
10.54969,Antalya Bilim University,
10.54968,Center for Civic Politics Research,
10.54970,Education and Science Policy Research Association,
10.54971,Education and Science Policy Research Association,
10.55013,Marginalization-Related Diminished Returns Centre,
