doi_prefix,publisher_2022,publisher_2013
10.3921,Elsevier BV,Elsevier - Colegio Nacional de Opticos-Optometristas de Espana
10.1331,Elsevier BV,American Pharmacists Association
10.1054,Elsevier BV,Elsevier- Churchill Livingstone
10.2139,Elsevier BV,Social Science Electronic Publishing
10.1016,Elsevier BV,Elsevier
10.1157,Elsevier BV,Elsevier - Ediciones Doyma
10.3816,Elsevier BV,Elsevier - CIG Media Group LP
10.1053,Elsevier BV,Elsevier - WB Saunders
10.2111,Elsevier BV,BioOne (Society for Range Management)
10.1205,Elsevier BV,Elsevier - Institution of Chemical Engineers
10.1383,Elsevier BV,Elsevier - Medicine Publishing Company
10.3182,Elsevier BV,Elsevier - International Federation of Automatic Control (IFAC)
10.1078,Elsevier BV,Elsevier - Urban & Fischer Verlag
10.1602,Elsevier BV,Elsevier - American Society for Experimental Neurotherapeutics
10.1367,Elsevier BV,Elsevier - Ambulatory Pediatric Associates
10.1378,Elsevier BV,American College of Chest Physicians
10.4065,Elsevier BV,Elsevier - Mayo Clinic Proceedings
10.1529,Elsevier BV,Elsevier - Biophysical Society
10.1183,European Respiratory Society (ERS),European Respiratory Society
10.1374,Gallaudet University Press (Project Muse),Muse - Gallaudet University Press
10.4061,Hindawi Limited,Hindawi Publishing Corporation (Sage-Hindawi Access to Research)
10.6064,Hindawi Limited,Hindawi  (Scientifica)
10.7167,Hindawi Limited,Hindawi (Datasets International)
10.3814,Hindawi Limited,Hindawi Publishing Corporation (Syrexe)
10.5402,Hindawi Limited,Hindawi (International Scholarly Research Network)
10.1155,Hindawi Limited,Hindawi Publishing Corporation
10.7217,Hindawi Limited,Hindawi (Conference Papers in Science)
10.1027,Hogrefe Publishing Group,Hogrefe & Huber Publishing Group
10.1024,Hogrefe Publishing Group,Hogrefe & Huber Publishing Group
10.1026,Hogrefe Publishing Group,Hogrefe & Huber Publishing Group
10.1377,Health Affairs (Project Hope),Project Hope
10.1138,International Bone & Mineral Society,International Bone and Mineral Society
10.1287,Institute for Operations Research and the Management Sciences (INFORMS),Institute for Operations Research and the Management Sciences
10.1135,Institute of Organic Chemistry & Biochemistry,"Institute of Organic Chemistry & Biochemistry, Academy of Sciences of the Czech Republic"
10.1355,ISEAS - Yusof Ishak Institute,Institute of Southeast Asian Studies
10.1351,International Union of Pure and Applied Chemistry (IUPAC),International Union of Pure and Applied Chemistry
10.1274,Japanese Society of  Mammalian Ova Research,BioOne (Japanese Society of Mammalian Ova Research)
10.1274,Japanese Society of  Mammalian Ova Research,Komitet Redakcyjno - Wydawniczy Polskiego Towarzystwa Psychiatrycznego
10.1294,Japan Society of Equine Science,The Korean Society of Fashion Business
10.1298,Japanese Physical Therapy Association,Asian Pacific Journal of Tropical Medicine Press
10.1293,Japanese Society of Toxicologic Pathology,National Academic Advising Association NACADA
10.1293,Japanese Society of Toxicologic Pathology,The Japanese Society of Toxicologic Pathology
10.1269,Japan Radiation Research Society,Defence Counsel Journal
10.1269,Japan Radiation Research Society,The Japan Radiation Research Society
10.1299,Japan Society of Mechanical Engineers,Marmara Dental Journal
10.1299,Japan Society of Mechanical Engineers,The Japan Society of Mechanical Engineers
10.1297,Japanese Society for Pediatric Endocrinology,Synergy Publishers
10.1297,Japanese Society for Pediatric Endocrinology,The Japanese Society for Pediatric Endocrinology
10.1159,S. Karger AG,Department of International Relations
10.1134,Pleiades Publishing Ltd,Pleiades Publishing
10.5042,Emerald,Emerald - Pier Professional
10.1108,Emerald,Emerald (MCB UP )
10.1307,Michigan Mathematical Journal,"Synatom Research, LLC"
10.1353,Project Muse,Muse - Johns Hopkins University Press
10.1305,Notre Dame Journal of Formal Logic,Korean Society for Food Engineering
10.1056,Massachusetts Medical Society,New England Journal of Medicine
10.1376,Penn State Press (Project Muse),Muse - Penn State Press
10.1211,Royal Pharmaceutical Society,Pharmaceutical Press
10.1068,Pion Ltd,Pion Ltd.
10.1332,Bristol University Press,The Policy Press
10.1308,Royal College of Surgeons of England,Lithuanian Research Centre for Agriculture and Forestry
10.1308,Royal College of Surgeons of England,The Royal College of Surgeons of England
10.2968,SAGE Publications,Sage Publications - Bulletin of the Atomic Scientists
10.2182,SAGE Publications,Canadian Association of Occupational Therapists
10.3317,SAGE Publications,Sage Publications (JRAAS Limited)
10.1243,SAGE Publications,Research Publishing Services - Professional Engineering Publishing
10.5153,SAGE Publications,Sociological Research Online
10.4219,SAGE Publications,"Sage Publications (Prufrock Press, Inc.)"
10.1106,SAGE Publications,Sage Publications  - Technomic Publishing Company
10.5367,SAGE Publications,IP Publishing
10.3818,SAGE Publications,Justice Research & Statistics Association
10.1345,SAGE Publications,Harvey Whitney Books Co.
10.2189,SAGE Publications,"Johnson Graduate School of Management, Cornell University"
10.4135,SAGE Publications,Sage Publications - Reference E-Books
10.1177,SAGE Publications,Sage Publications
10.1528,SAGE Publications,Sage Publications- Academy of Traumatology
10.1191,SAGE Publications,Arnold Publishers
10.1606,SAGE Publications,Alliance for Children and Families
10.5034,SAGE Publications,"Excellus Health Plan, Inc."
10.5301,SAGE Publications,"Wichtig Editore, SRL"
10.4137,SAGE Publications,"Libertas Academica, Ltd."
10.7182,SAGE Publications,North American Transplant Coordinators Organization
10.5126,SAGE Publications,"Excellus Health Plan, Inc."
10.12679,SAGE Publications,
10.5193,SAGE Publications,Association for Experiential Education
10.1369,SAGE Publications,Journal of Histochemistry & Cytochemistry
10.3821,SAGE Publications,Canadian Pharmacists Journal
10.1258,SAGE Publications,The Royal Society of Medicine
10.1354,SAGE Publications,American College of Veterinary Pathologists
10.2511,SAGE Publications,TASH
10.1622,SAGE Publications,SagePublications - National Association of School Nurses
10.4133,Society of Exploration Geophysicists,Environmental and Engineering Geophysical Society
10.1117,SPIE-Intl Soc Optical Eng,SPIE - International Society for Optical Engineering
10.1076,Swets & Zeitlinger Publishers,Informa UK (Swets & Zeitlinger Publishers)
10.1296,Techno-Press,Professional Association of Social Workers of Madrid
10.3413,Georg Thieme Verlag KG,Schattauer GmbH (NuklearMedizin/NuclearMedicine)
10.4338,Georg Thieme Verlag KG,Schattauer GmbH (Applied Clinical Informatics)
10.1055,Georg Thieme Verlag KG,Thieme Publishing Group
10.3415,Georg Thieme Verlag KG,Schattauer GmbH (Veterinary and Comparative Orthopaedics and Traumatology)
10.5482,Georg Thieme Verlag KG,Schattauer GmbH (Hamostaseologie)
10.3414,Georg Thieme Verlag KG,Schattauer GmbH (Methods of Information in Medicine)
10.12687,Georg Thieme Verlag KG,Schattauer GmbH (Phlebologie)
10.1086,University of Chicago Press,The University of Chicago Press
10.1372,College Literature (Project Muse),Muse - College Literature
10.1142,World Scientific Pub Co Pte Ltd,World Scientific
10.1126,American Association for the Advancement of Science (AAAS),American Association for the Advancement of Science
10.1373,American Association for Clinical Chemistry (AACC),American Association for Clinical Chemistry
10.1352,American Association on Intellectual and Developmental Disabilities (AAIDD),American Association on Intellectual and Developmental Disabilities
10.1206,American Museum of Natural History (BioOne sponsored),BioOne (American Museum of Natural History)
10.1176,American Psychiatric Association Publishing,American Psychiatric Publishing
10.1121,Acoustical Society of America (ASA),Acoustical Society of America
10.1136,BMJ,BMJ Publishing Group
10.1783,BMJ,Faculty of Family Planning
10.12774,CABI Publishing,CABI Publishing - Evidence on Demand
10.1273,Chem-Bio Informatics Society,Bursa Ilahiyat Foundation
10.1101,Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory Press
10.1261,Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory Press
10.1363,Guttmacher Institute,Alan Guttmacher Institute
10.1109,Institute of Electrical and Electronics Engineers (IEEE),Institute of Electrical and Electronics Engineers
10.1049,Institution of Engineering and Technology (IET),Institution of Electrical Engineers
10.1238,IOP Publishing,Royal Swedish Academy of Sciences
10.1209,IOP Publishing,IOP Publishing - Europhysics Letters
10.1303,Japanese Society of Applied Entomology & Zoology,CLOCKSS Archive
10.1271,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",Russian New University
10.1241,Japan Science and Technology Agency (JST),Japan Science and Technology Agency
10.5435,Ovid Technologies (Wolters Kluwer Health),American Academy of Orthopaedic Surgeons
10.1161,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies Wolters Kluwer -American Heart Association
10.1161,Ovid Technologies (Wolters Kluwer Health),"Procon, Ltd."
10.1097,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies (Wolters Kluwer)  - Lippincott Williams & Wilkins
10.2459,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies (Wolters Kluwer) - Italian Federation of Cardiology
10.11124,Ovid Technologies (Wolters Kluwer Health),Joanna Briggs Institute
10.1212,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies (Wolters Kluwer) - American Academy of Neurology
10.1213,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies (Wolters Kluwer)  - Anesthesia & Analgesia
10.1288,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies (Wolters Kluwer)  - Triological Society
10.2106,Ovid Technologies (Wolters Kluwer Health),Journal of Bone and Joint Surgery
10.1519,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies (Wolters Kluwer) - National Strength & Conditioning
10.1227,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies (Wolters Kluwer)  - Neurosurgery
10.1203,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies (Wolters Kluwer) - International Pediatric Research Foundation
10.1249,Ovid Technologies (Wolters Kluwer Health),Ovid Technologies (Wolters-Kluwer) - American College of Sports Medicine
10.1089,Mary Ann Liebert Inc,Mary Ann Liebert
10.7551,MIT Press - Journals,MIT Press
10.1162,MIT Press - Journals,Korean Academy of Oral Biology
10.1162,MIT Press - Journals,MIT Press
10.1364,The Optical Society,Optical Society of America
10.1093,Oxford University Press (OUP),Oxford University Press
10.2146,Oxford University Press (OUP),American Society of Health System Pharmacists
10.1534,Oxford University Press (OUP),The Genetics Society of America
10.1042,Portland Press Ltd.,Portland Press
10.1368,The Society of Protozoologists,BioOne (Society of Protozoologists)
10.1084,Rockefeller University Press,The Rockefeller University Press
10.1085,Rockefeller University Press,The Rockefeller University Press
10.1083,Rockefeller University Press,The Rockefeller University Press
10.1039,Royal Society of Chemistry (RSC),The Royal Society of Chemistry
10.1361,Springer Science and Business Media LLC,Springer - ASM International
10.1038,Springer Science and Business Media LLC,Nature Publishing Group
10.3758,Springer Science and Business Media LLC,Springer - Psychonomic Society
10.4056,Springer Science and Business Media LLC,Genomic Standards Consortium
10.7123,Springer Science and Business Media LLC,Ovid Technologies (Wolters Kluwer) - ENSTINET
10.1245,Springer Science and Business Media LLC,Springer - Society of Surgical Oncology
10.1013,Springer Science and Business Media LLC,Nature Publishing Group
10.1617,Springer Science and Business Media LLC,Springer - RILEM Publishing
10.1065,Springer Science and Business Media LLC,Springer - Ecomed Publishers
10.5819,Springer Science and Business Media LLC,Springer - (backfiles)
10.3858,Springer Science and Business Media LLC,Korean Society for Biochemistry and Molecular Biology
10.1114,Springer Science and Business Media LLC,Departmento Expresion Grafica y Cartografia
10.1114,Springer Science and Business Media LLC,Springer (Kluwer Academic Publishers - Biomedical Engineering Society (BMES))
10.1208,Springer Science and Business Media LLC,American Association of Pharmaceutical Scientists
10.4076,Springer Science and Business Media LLC,"Springer (Cases Network, Ltd.)"
10.4333,Springer Science and Business Media LLC,Springer - The Korean Society of Pharmaceutical Sciences and Technology
10.1385,Springer Science and Business Media LLC,Springer - Humana Press
10.1057,Springer Science and Business Media LLC,Nature Publishing Group - Macmillan Publishers
10.2165,Springer Science and Business Media LLC,Ovid Technologies (Wolters-Kluwer) - Adis
10.1007,Springer Science and Business Media LLC,Springer-Verlag
10.1381,Springer Science and Business Media LLC,Springer - FD Communications
10.1186,Springer Science and Business Media LLC,Springer (Biomed Central Ltd.)
10.1557,Springer Science and Business Media LLC,Cambridge University Press (Materials Research Society)
10.1379,Springer Science and Business Media LLC,Springer - Cell Stress Society International
10.5052,Springer Science and Business Media LLC,"Springer - Real Academia de Ciencias Exactas, Fisicas y Naturales"
10.7603,Springer Science and Business Media LLC,Springer - Global Science Journals
10.1251,Springer Science and Business Media LLC,Springer (Biological Procedures Online)
10.1023,Springer Science and Business Media LLC,Springer (Kluwer Academic Publishers)
10.1295,"Society of Polymer Science, Japan",Japanese Society of Radiation Safety Management
10.3137,Informa UK Limited,Informa UK (Canadian Meteorological and Oceanographic Society)
10.2167,Informa UK Limited,Informa UK (Multilingual Matters)
10.4161,Informa UK Limited,Landes Bioscience
10.1185,Informa UK Limited,Informa UK (Librapharm)
10.1198,Informa UK Limited,Informa UK (American Statistical Association)
10.3939,Informa UK Limited,"Informa UK (Georg D. W. Callwey GambH and Co., KG)"
10.1201,Informa UK Limited,CRC Press
10.5175,Informa UK Limited,Council on Social Work Education
10.5408,Informa UK Limited,National Association of Geoscience Teachers
10.7158,Informa UK Limited,Engineers Australia
10.3187,Informa UK Limited,Informa UK (National Inquiry Services Center/African Journals Online)
10.3111,Informa UK Limited,Informa UK (PharmaProjects)
10.1174,Informa UK Limited,Fundacion Infancia y Aprendizaje
10.1531,Informa UK Limited,Informa UK (Taylor & Francis Books)
10.1586,Informa UK Limited,"Expert Reviews, LTD"
10.3826,Informa UK Limited,Informa UK (International Association of Hydraulic Engineering and Research (IAHR))
10.3109,Informa UK Limited,Informa UK (Informa Healthcare)
10.1887,Informa UK Limited,Informa UK(IOP Books)
10.3763,Informa UK Limited,Earthscan
10.1081,Informa UK Limited,Informa UK (Marcel Dekker)
10.2216,Informa UK Limited,International Phycological Society
10.1582,Informa UK Limited,Illuminating Engineering Society of North America
10.3152,Informa UK Limited,Informa UK (Beech Tree Publishing)
10.1517,Informa UK Limited,Informa UK (Ashley Publications)
10.2147,Informa UK Limited,Dove Medical Press
10.4324,Informa UK Limited,Informa UK (Routledge)
10.5661,Informa UK Limited,Nottingham University Press
10.2513,Informa UK Limited,"Informa UK (Lawrence Erlbaum Associates, Inc)"
10.2976,Informa UK Limited,Informa UK (Human Frontier Science Program Publishing)
10.1207,Informa UK Limited,"Informa UK (Lawrence Erlbaum Associates, Inc.)"
10.4113,Informa UK Limited,Informa UK (Journal of Maps)
10.3155,Informa UK Limited,Informa UK (Air & Waste Management Association)
10.1623,Informa UK Limited,Informa UK (IAHS Ltd.)
10.1888,Informa UK Limited,Informa UK (Encyclopedia of Astronomy and Astrophysics)
10.1581,Wiley,Wiley Blackwell (Robotic Publications)
10.4319,Wiley,"American Society of Limnology and Oceanography, Inc."
10.1516,Wiley,Wiley Blackwell (International Journal of Psychoanalysis)
10.1112,Wiley,Oxford University Press - London Mathematical Society
10.1112,Wiley,The Higher Education Academy
10.1118,Wiley,American Association of Physicists in Medicine
10.3322,Wiley,Wiley (American Cancer Society)
10.7863,Wiley,American Institute of Ultrasound in Medicine
10.1897,Wiley,Wiley Blackwell (Society of Environmental Toxicology and Chemistry)
10.2746,Wiley,Wiley Blackwell (Equine Veterinary Journal)
10.1576,Wiley,Wiley Blackwell (Royal College of Obstetricians & Gynecologist)
10.1111,Wiley,The Korean Society of Plant Taxonomists
10.1111,Wiley,Wiley Blackwell (Blackwell Publishing)
10.2135,Wiley,Crop Science Society of America
10.4004,Wiley,Wiley Blackwell (The Wildlife Society)
10.1892,Wiley,Wiley Blackwell (American College of Veterinary Internal Medicine)
10.4218,Wiley,Electronics and Telecommunications Research Institute
10.1634,Wiley,Alphamed Press
10.1889,Wiley,Society for Information Display
10.1526,Wiley,Wiley Blackwell (Rural Sociological Society)
10.1196,Wiley,Wiley Blackwell (New York Academy of Sciences)
10.1359,Wiley,Wiley Blackwell (American Society Bone & Mineral Research)
10.3405,Wiley,Wiley Blackwell (New York Academy of Sciences E-Briefings)
10.1592,Wiley,Pharmacotherapy
10.5694,Wiley,Australasian Medical Publishing Co. Pty. Ltd.
10.2966,Wiley,Wiley Blackwell (AHRC Research Centre)
10.1301,Wiley,Wiley Blackwell (International Life Sciences Institute)
10.5054,Wiley,"Wiley Blackwell (Teachers of English to Speakers of Other Languages, Inc.)"
10.1034,Wiley,Wiley Blackwell (Blackwell Publishing - Munksgaard)
10.2164,Wiley,American Society of Andrology
10.4195,Wiley,American Society of Agronomy
10.1506,Wiley,Wiley Blackwell (Canadian Academic Accounting Association)
10.1046,Wiley,Wiley Blackwell (Blackwell Publishing)
10.2903,Wiley,Publications Office of the European Union
10.1256,Wiley,Wiley Blackwell (Royal Meteorological Society)
10.1113,Wiley,Center for Economic Integration
10.1113,Wiley,Wiley Blackwell (Blackwell Publishing -The Physiological Society)
10.1348,Wiley,Wiley Blackwell (British Psychological Society)
10.3401,Wiley,Wiley Blackwell (Production and Operations Management)
10.1002,Wiley,Wiley Blackwell (John Wiley & Sons)
10.2136,Wiley,Soil Science Society of America
10.3162,Wiley,Wiley Blackwell (Comparative Legislative Research Center)
10.2134,Wiley,American Society of Agronomy
10.2755,Wiley,Wiley Blackwell (Blackwell Publishing - Foundation for Cellular and Molecular Medicine)
10.1096,Wiley,Federation of American Society for Experimental Biology
10.1087,Association of Learned and Professional Society Publishers (ALPSP),ALPSP -Association of Learned and Professional Society Publishers
10.1021,American Chemical Society (ACS),American Chemical Society
10.1063,AIP Publishing,American Institute of Physics
10.1145,Association for Computing Machinery (ACM),Association for Computing Machinery
10.1033,Ebsco Publishing,EBSCO Publishing
10.1266,Genetics Society of Japan,Fundacao Getulio Vargas
10.1266,Genetics Society of Japan,The Genetics Society of Japan
10.1255,IM Publications Open LLP,IM Publications
10.1107,International Union of Crystallography (IUCr),International Union of Crystallography
10.1253,Japanese Circulation Society,The Japanese Circulation Society
10.1254,Japanese Pharmacological Society,The Japanese Pharmacological Society
10.1267,Japan Society of Histochemistry & Cytochemistry,Japan Society of Histochemistry and Cytochemistry
10.1267,Japan Society of Histochemistry & Cytochemistry,Technical Institute Bijeljina
10.1371,Public Library of Science (PLoS),Public Library of Science
10.1263,"Society for Biotechnology, Japan","The Society for Biotechnology, Japan"
10.1099,Microbiology Society,Society for General Microbiology
10.1252,"Society of Chemical Engineers, Japan",The Society of Chemical Engineers Japan
10.1137,Society for Industrial & Applied Mathematics (SIAM),Society for Industrial and Applied Mathematics
10.1387,UPV/EHU Press,UBC Press
10.1511,Sigma Xi,American Scientist
10.1492,University of St. Thomas (Project Muse),Muse - University of St.Thomas - Logos
10.1493,University of North Carolina Press (Project Muse),Muse - University of North Carolina Press
10.1494,University of Minnesota Press (Project Muse),Muse - University of Minnesota Press
10.1495,Journal of Social History (George Mason University) (Project Muse),Muse - Journal of Social History
10.1496,The Americas (Catholic University) (Project Muse),Muse - The Americas
10.1497,Music Library Association (Project Muse),Muse - Music Library Association
10.1498,University of Hawaii Press (Project Muse),Muse - University of Hawaii Press
10.1499,Kent State University Press (Project Muse),Muse - Kent State University Press
10.1502,Wayne State University Press (Project Muse),Muse- Wayne State University Press
10.1518,Human Factors and Ergonomics Society,Human Factors & Ergonomics
10.1524,Walter de Gruyter GmbH,Oldenbourg Wissenschaftsverlag
10.2202,Walter de Gruyter GmbH,Berkeley Electronic Press
10.2478,Walter de Gruyter GmbH,Versita Sp. z.o.o.
10.3884,Walter de Gruyter GmbH,Walter de Gruyter GmbH (European Journal of Nanomedicine)
10.1489,American Leprosy Missions,The International Leprosy Association
10.1504,Inderscience Publishers,Inderscience Enterprises Ltd.
10.1509,American Marketing Association (AMA),American Marketing Association
10.9778,CMA Impact Inc.,Canadian Medical Association
10.1503,CMA Impact Inc.,Canadian Medical Association
10.1507,Japan Endocrine Society,The Japan Endocrine Society
10.1491,George Washington University Institute for Ethnographic Research (Project Muse),Muse - George Washington University Institute for Ethnographic Research
10.1384,Surface Analysis Society of Japan,The Surface Analysis Society of Japan
10.1199,BioOne,American Society of Plant Biologists
10.1669,BioOne,BioOne (Society for Sedimentary Geology)
10.7872,BioOne,BioOne (Association des Amis des Cryptogames)
10.12952,BioOne,BioOne (Elementa)
10.1527,Japanese Society for Artificial Intelligence,The Japanese Society for Artificial Intelligence
10.1677,Bioscientifica,BioScientifica (Society for Endocrinology)
10.1542,American Academy of Pediatrics (AAP),American Academy of Pediatrics
10.1553,"Osterreichische Akademie der Wissenschaften, Verlag",Verlag der Osterreichischen Akademie der Wissenschaften
10.1535,Intel,Intel Corp
10.1554,The Society for the Study of Evolution,BioOne (Society for the Study of Evolution)
10.1541,Institute of Electrical Engineers of Japan (IEE Japan),Institute Electrical Engineers Japan
10.1556,Akademiai Kiado Zrt.,Akademiai Kiado RT
10.11139,Equinox Publishing,Computer Assisted Language Instruction Consortium CALICO
10.1559,Cartography and Geographic Information Society (CaGIS),Cartography & Geographic Information Society
10.1562,American Society for Photobiology,BioOne (American Society for Photobiology)
10.1564,Research Information Ltd.,Research Information Ltd
10.1536,International Heart Journal (Japanese Heart Journal),International Heart Journal Association
10.7476,FapUNIFESP (SciELO),SciELO
10.1587,"Institute of Electronics, Information and Communications Engineers (IEICE)","Institute of Electronics, Information and Communications Engineers"
10.1589,Society of Physical Therapy Science,The Society of Physical Therapy Science
10.1596,World Bank,The World Bank
10.1633,Korean Institute of Science and Technology Information (KISTI),KISTI
10.1603,Entomological Society of America,BioOne (Entomological Society of America)
10.1614,Weed Science Society,BioOne (Weed Science Society of America)
10.1615,Begell House,Begell House Inc.
10.1619,"Division of Functional Equations, The Mathematical Society of Japan (JST)",Mathematical Society of Japan
10.1618,Japanese Society of Human-Environment System,Japanese Society of Human-Environment
10.1621,Signaling Pathways Project,Nuclear Receptor Signaling Atlas
10.1632,Modern Language Association (MLA),Modern Language Association
10.1631,Zhejiang University Press,Journal of Zhejiang University Science
10.1679,International Society of Histology & Cytology,International Society Histology & Cytology
10.2215,American Society of Nephrology (ASN),American Society of Nephrology
10.1681,American Society of Nephrology (ASN),American Society of Nephrology
10.1784,British Institute of Non-Destructive Testing (BINDT),British Institute of Non-Destructive Testing
10.1785,Seismological Society of America (SSA),Seismological Society
10.1896,Conservation International,BioOne (Conservation International)
10.1902,American Academy of Periodontology (AAP),American Academy of Periodontology
10.2107,"Confederacion Academica Nipona, Espanola y Latinoamericana",Academic Society of Technology Management
10.2108,Zoological Society of Japan,BioOne (Zoological Society of Japan)
10.5724,Society for Sedimentary Geology,The GCSSEPM Foundation
10.4043,Society of Petroleum Engineers (SPE),Society of Petroleum Engineers Offshore Technology Conference
10.2523,Society of Petroleum Engineers (SPE),Society of Petroleum Engineers International Petroleum Technology Conference
10.7122,Society of Petroleum Engineers (SPE),Society of Petroleum Engineers - Carbon Management Technology Conference
10.2118,Society of Petroleum Engineers (SPE),Society of Petroleum Engineers
10.2119,The Feinstein Institute for Medical Research (North Shore LIJ Research Institute),North Shore LIJ Research Institute
10.2115,Society of Fiber Science and Technology Japan,Society of Fiber Science & Technology Japan
10.3835,Crop Science Society of America,The Plant Genome
10.2172,Office of Scientific and Technical Information (OSTI),Office of Scientific and Technical Information
10.2173,Cornell Laboratory of Ornithology,Cornell Lab of Ornithology
10.2174,Bentham Science Publishers Ltd.,Bentham Science
10.2183,Japan Academy,The Japan Academy
10.2184,Laser Society of Japan,The Laser Society of Japan
10.2185,Japanese Association of Rural Medicine,The Japanese Association of Rural Medicine
10.4199,Morgan & Claypool Publishers LLC,Morgan & Claypool
10.2201,National Institute of Informatics (NII),National Institute of Informatics
10.2204,International Ocean Discovery Program (IODP),Integrated Ocean Drilling Program - Management International
10.2973,International Ocean Discovery Program (IODP),Integrated Ocean Drilling Program Texas
10.2217,Future Medicine Ltd,Future Medicine
10.2222,Japanese Association of Virology,The Japanese Association for Virology
10.2223,Jornal de Pediatria,Jornal de Pediatra/FSBP
10.2224,Scientific Journal Publishers Ltd,Scientific Journal Publishers
10.4151,Pontificia Universidad Catolica de Valparaiso,Pontifica Universidad Catolica de Valparaiso
10.1187,American Society for Cell Biology (ASCB),American Society for Cell Biology
10.1091,American Society for Cell Biology (ASCB),American Society for Cell Biology
10.2299,"Research Institute of Signal Processing, Japan",Research Institute of Signal Processing
10.2301,Japan Academy of Neurosonology,The Japan Academy of Neurosonology
10.2302,Keio Journal of Medicine,The Keio Journal of Medicine
10.1158,American Association for Cancer Research (AACR),American Association for Cancer Research
10.2333,Behaviormetric Society of Japan,The Behaviormetric Society of Japan
10.2331,Japanese Society of Fisheries Science,The Japanese Society of Fisheries Science
10.2329,Japanese Society of Periodontology,The Japanese Society of Periodontology
10.2335,Japanese Society on Surgery for Cerebral Stroke,The Japanese Society on Surgery for Cerebral Stroke
10.2323,Microbiology Research Foundation,The Microbiology Research Foundation
10.2326,Ornithological Society of Japan,BioOne (Ornithological Society of Japan)
10.2324,"Society of Rubber Industry, Japan",The Society of Rubber Industry
