publisher_raw,publisher
Fondazione Università Ca’ Foscari,Edizioni Ca' Foscari
Leibniz Institute for Psychology (ZPID),Leibniz Institute for Psychology
Leibniz-Institute for Psychology Information (ZPID),Leibniz Institute for Psychology
JMIR Publications Inc.,JMIR Publications
"JMIR Publications Inc., Toronto, Canada",JMIR Publications
PeerJ,PeerJ
PeerJ Inc.,PeerJ
"L and H Scientific Publishing, LLC",L&H Scientific Publishing
"L&H Scientific Publishing, LLC",L&H Scientific Publishing
IM Publications Open,IM Publications Open
IM Publications Open LLP,IM Publications Open
American Society of Nephrology,American Society of Nephrology
American Society of Nephrology (ASN),American Society of Nephrology
Bioscientifica,Bioscientifica
Bioscientifica Ltd,Bioscientifica
EDP Sciences,EDP Sciences
"Éditions EDK, Groupe EDP Sciences",EDP Sciences
American Association of Physics Teachers AAPT,American Association of Physics Teachers
American Association of Physics Teachers (AAPT),American Association of Physics Teachers
American Society of Agronomy and Soil Science Society of America,American Society of Agronomy and Soil Science Society of America
Soil Science Society of America,American Society of Agronomy and Soil Science Society of America
EMH Media,EMH Media
"EMH Swiss Medical Publishers, Ltd.",EMH Media
Acoustical Society of America ASA,Acoustical Society of America
Acoustical Society of America (ASA),Acoustical Society of America
American Society for Pharmacology & Experimental Therapeutics (ASPET),American Society for Pharmacology & Experimental Therapeutics
American Society for Pharmacology and Experimental Therapeutics,American Society for Pharmacology & Experimental Therapeutics
Open Library of Humanities,Open Library of Humanities
Open Library of the Humanities,Open Library of Humanities
CMA Joule Inc.,CMA Joule Inc.
Joule Inc.,CMA Joule Inc.
