wiki_id,label
Q141495,optimal
Q617792,compounds
Q175928,occurrence
Q305178,Introduction
Q2303305,constraints
Q835041,nous
Q5421523,computed
Q37033,w3.org
Q1553259,insights
Q5264248,Design
Q272035,accurately
Q5048361,case study
Q2733663,correlated
Q5347293,Effects
Q11173,compounds
Q16868804,so-called
Q329338,state-of-the-art
Q11216,numerical
Q179661,therapeutic
Q104053,phenotype
Q5249659,decreases
Q208498,95% CI
Q128115,Abstract
Q791801,estimation
Q27958367,Effect
Q68685,pathway
Q836088,characteristic
Q202167,cohort
Q42918,mutations
Q6934540,Multi
Q1504173,efficacy
Q20087729,0%
Q931309,imaging
Q45045,simulations
Q6164099,vitro
Q1374271,variability
Q163214,diffusion
Q104837,phases
Q223871,mediated
Q21136445,Purpose
Q2904257,methodology
Q17097960,Recent
Q5395595,wide range
Q177719,diagnostic
Q189177,3D
Q3776487,parameter
Q521,physiological
Q1379672,evaluated
Q18124892,important role
Q1295020,sensitivity
Q3421871,Recently
Q13657796,Model
Q4671286,concentrations
Q43297,Time
Q163829,synthesis
Q1116876,modeling
Q41482,investigates
Q565649,pH
Q50701,variables
Q4781716,Approach
Q4610556,modelling
Q6806175,mediated
Q465048,well-known
Q731978,modes
Q721237,20%
Q1399332,validation
Q654711,Low
Q76321820,contributes
Q7868,cellular
Q36496,ions
Q11575,mais
Q1957133,thickness
Q104903100,Influence
Q75,Internet
Q101991,inflammation
Q925667,simulations
Q178659,illustrate
Q217602,analyses
Q27054,2D
Q7315055,Research
Q7353547,robust
Q7975084,una
Q40397,tissues
Q274160,toxicity
Q383126,long-term
Q848197,fraction
Q672821,concentrations
Q1216998,tumor
Q10942247,alterations
Q1938983,spatial
Q217690,incidence
Q1413083,parameter
Q8047,enzyme
Q576271,determining
Q7942,recent years
Q3123574,emergence
Q109233841,30%
Q34581,travail
Q913721,sequences
Q2596399,illustrate
Q3378593,dependence
Q3882778,onset
Q3425216,yields
Q17078498,research centers
Q1154589,analysed
Q1665389,robust
Q7868,cellules
Q855769,strains
Q253448,coupling
Q5375150,enabling
Q6188317,prediction
Q735359,Human
Q17104930,occurring
Q464980,exhibited
Q461183,corpus
Q592442,prognosis
Q17125150,severity
Q4993710,notably
Q903156,heterogeneous
Q1074648,relevance
Q2937829,characterization
Q18601,long-term
Q6955,XIXe siècle
Q8047,enzymes
Q4178674,adaptation
Q253448,coupled
Q733968,Performance
Q898273,domains
Q420062,accumulation
Q217602,analyse
Q499909,subjected
Q289093,localization
Q925667,simulation
Q531434,intra
Q79749,plasma
Q357095,HAL
Q928186,para
Q177646,subset
Q351625,theoretical
Q3560550,spatial
Q427492,inhibition
Q753,Cu
Q730675,quantitative
Q16241879,Aims
Q11165954,uptake
Q221681,in vitro
Q7075073,Objective
Q728001,derive
Q60745931,Identification
Q1870264,Ce
Q56359806,Simulation
Q7132508,pas
Q2114394,50%
Q747810,questionnaire
Q183252,morphology
Q34740,genus
Q6143472,Key
Q181600,Patients
Q985834,variant
Q17737,theoretical
Q58702,mortality
Q1150166,facilitate
Q48965789,Il
Q84263196,COVID-19
Q1988917,analyze
Q16313,temporal
Q1781447,configuration
Q577714,Comparison
Q592911,quantified
Q5056231,Ces
Q627,nitrogen
Q26972,gene expression
Q483666,spectroscopy
Q2225,electron
Q5449699,correlated
Q3716882,Dynamic
Q11369,molecule
Q7020,genome
Q333464,analyzed
Q5747198,heterogeneity
Q10523939,Highlights
Q6958279,evaluating
Q186290,correlation
Q2350831,phases
Q552431,degradation
Q1296251,efficiently
Q5532504,quantify
Q3815455,1.5
Q929009,simultaneous
Q486902,modelling
Q167676,sensors
Q1057,metabolism
Q179651,scales
Q245595,cycles
Q215028,evaluate
Q10251,plasma
Q321150,theoretical
Q493033,Long
Q3880557,Objective
Q307482,100%
Q27958898,explores
Q46857,methodology
Q5117123,profiles
Q28970859,Clinical
Q111092,room temperature
Q5519945,localized
Q747907,highlighting
Q22907374,calculation
Q7317724,impaired
Q161238,MRI
Q61231,nanoparticles
Q45045,simulation
Q22908280,assessing
Q20180457,incidence
Q4044426,Models
Q851162,synthesis
Q35950,cas
Q8513,base de données
Q210861,differentiation
Q12078,Cancer
Q167676,sensor
Q30158686,constraints
Q2,Earth
Q7250831,prospective
Q1202243,explored
Q1427962,Application
Q12001001,enrolled
Q923592,experimentally
Q5146,por
Q11391,UV
Q4060094,activated
Q6398179,key role
Q12078,cancer
Q3194984,mml
Q30612,follow-up
Q210028,scattering
Q3433612,correlation
Q19092,compatible
Q744385,temporal
Q7150,ecological
Q5195026,Current
Q207977,prototype
Q1964968,probe
Q7447785,selective
Q16992239,Experiments
Q52948,interplay
Q208498,95% confidence interval
Q142,français
Q180254,adsorption
Q815962,établir
Q2028919,magnitude
Q27818522,0.01
Q141495,optimization
Q2110808,behaviors
Q596446,sampling
Q41364,wavelength
Q379168,corresponds
Q572165,Network
Q7242420,Previous
Q134556,Single
Q1637543,arise
Q10876,bacterial
Q944517,coupling
Q660848,nonlinear
Q5204333,Data
Q557429,acute
Q2346,analyses
Q82682,oxidation
Q1136628,correlation
Q5535373,Summary
Q5421151,experimental data
Q7269434,quasi
Q17007819,correlations
Q28195064,Findings
Q29548,membrane
Q4384889,comparisons
Q183065,interpreted
Q667944,temps
Q1866689,configurations
Q1577653,Une
Q2623243,modeling
Q464980,exhibits
Q5256317,demonstrating
Q176996,PCR
Q1153832,synthesis
Q568742,modeling
Q595523,notion
Q2524240,robust
Q238156,complexes
Q332172,optimization
Q353963,complications
Q751989,phenomena
Q5136675,cluster
Q42918,mutation
Q961326,decreased
Q10350689,predictions
Q2066956,potent
Q81163,polymer
Q184827,tool
Q715789,mapping
Q3045004,derive
Q865493,modification
Q849893,extracted
Q175821,μm
Q48612,synthetic
Q37525,glucose
Q827023,lesions
Q5463013,flux
Q6662173,insights
Q1131426,6 months
Q1370637,explored
Q1156793,optimized
Q141124,in vivo
Q359176,validated
Q1129186,Control
Q8162,linguistique
Q215599,promotes
Q209082,kinetics
Q16728936,Fe
Q7064483,revealing
Q1610017,simulated
Q2737195,15%
Q6770792,correction
Q6723273,consisted
Q6243,variability
Q3217537,poorly understood
Q6927,XXe siècle
Q12525525,computation
Q3487904,processus
Q11053,RNA
Q411391,activation
Q1595351,year-old
Q864574,markers
Q113312,variables
Q88568089,confirms
Q12558574,perspectives
Q16218846,substantially
Q2294,proton
Q12078,cancers
Q7353546,robustness
Q83021,empirical
Q212111,emission
Q41181,considerably
Q1597271,utilisation
Q468565,Management
Q24743362,induces
Q1090839,scenarios
Q1816844,large number
Q2513417,scales
Q957073,clusters
Q188928,mRNA
Q191141,Cette
Q20739894,specificity
Q372016,pathogenesis
Q974135,chemotherapy
Q677,Fe
Q736670,Method
Q15725931,2.5
Q175199,variability
Q674038,macroscopic
Q15829738,triggered
Q5571762,intracellular
Q5454650,mortality
Q6570048,prospective
Q1475294,maximal
Q1140158,Studies
Q7430721,scenarios
Q865493,modifications
Q7942,climate change
Q739897,assay
Q245359,injection
Q7360622,Role
Q7836892,Treatment
Q12554,Moyen Âge
Q6934881,Multiple
Q1498213,microstructure
Q1375963,Conversely
Q65,LA
Q560589,Method
Q229390,3D
Q5379515,enriched
Q25419,Escherichia coli
Q184759,encoding
Q12279300,DANS
Q3077570,formulation
Q7575269,spectra
Q55647748,optimize
Q619444,aiming
Q899656,prediction
Q670,Si
Q5227352,dataset
Q5284440,III
Q6289966,unprecedented
Q2034182,gradient
Q35655,ses
Q3818392,enhances
Q1640319,Experimental
Q5156550,Complex
Q189603,public health
Q6672123,long-term
Q1130160,estimation
Q826582,X-ray diffraction
Q618079,analysed
Q159334,Secondary
Q3409314,monitored
Q6058693,intrinsic
Q40821,chirurgie
Q865811,distributions
Q8188,onset
Q690578,accumulation
Q7239,organisms
Q166231,infections
Q1321,es
Q1142327,Global
Q128723,wild-type
Q6486772,predominantly
Q193642,large-scale
Q3025404,Development
Q25324525,absent
Q877977,variables
Q595064,propose
Q11408,magnetic field
Q4610556,Model
Q494756,dataset
Q21201,sociologie
Q1307337,influencing
Q2585724,Assessment
Q7489215,shapes
Q1641446,construct
Q9465,éthique
Q12769938,quantify
Q167336,concentrations
Q748250,predictions
Q606654,prediction
Q47041,biodiversity
Q17111997,heterogeneous
Q241849,sensitivity
Q1628411,targeting
Q184943,particle
Q1346149,complications
Q133139,spectra
Q173582,gradient
Q967960,Mathematics Subject Classification
Q1334995,embedded
Q270791,undertaken
Q2644277,complementary
Q219416,sustainability
Q5347439,Efficient
Q172847,peptide
Q7208,pathology
Q7685924,targeting
Q13100823,quality of life
Q7243054,Primary
Q644507,interacting
Q1681587,systematic
Q466,www
Q940001,Cette
Q2937829,characterizing
Q1647529,satisfactory
Q925667,numerical
Q483247,phenomena
Q1643366,extensively
Q148,China
Q5133509,scenarios
Q6252444,successive
Q17090354,transient
Q1400808,persistent
Q36677957,Synthesis
Q9121,atoms
Q5571770,partie
Q15709970,Structure
Q592911,quantification
Q232557,2+
Q644813,relying
Q46,européenne
Q37813,ecosystems
Q163829,synthesized
Q79460,antibodies
Q165603,IV
Q210973,pathways
Q1376021,estimation
Q902104,private research
Q180809,analysed
Q1172284,datasets
Q673444,dense
Q844704,extracted
Q2539,machine learning
Q5057693,Participants
Q2166170,finite
Q373984,complementary
Q18608,explicit
Q193137,differential
Q719602,prévalence
Q5155897,significant differences
Q180809,mass spectrometry
Q8242,littérature
Q5381545,induce
Q736777,calibration
Q752518,ratios
Q51501,equations
Q30612,clinical trials
Q596446,sampled
Q223714,lateral
Q179661,Treatment
Q1194763,2D
Q283617,su
Q1475848,risk factors
Q1613840,limiting
Q1123201,premier temps
Q750240,modulation
Q715789,characterized
Q15,Africa
Q16521,taxa
Q1501648,coupling
Q2940906,Case
Q49001005,configurations
Q12119506,substrate
Q870,consist
Q1974593,transient
Q1048589,calculations
Q193161,ligand
Q320723,variables
Q8054,protéines
Q686707,significantly lower
Q4166153,formulation
Q408,Au
Q216817,emission
Q333291,abstract
Q135035,DES
Q11190,clinical practice
Q1002253,applicability
Q1211057,convergence
Q193161,ligands
Q2044250,nonlinear
Q1002253,incorporation
Q95679960,Altogether
Q788790,documented
Q11367,lipid
Q5178489,increased risk
Q7239700,predominant
Q101965,Experimental
Q336019,abundance
Q231124,reliability
Q2733663,correlation
Q435371,criterion
Q6485344,flux
Q1346231,induce
Q7883778,Understanding
Q3306762,validate
Q18537,biomass
Q12364239,III
Q183252,morphological
Q574890,high-resolution
Q368039,Al
Q3800792,Introduction
Q1323686,explicitly
Q1211967,characterized
Q739897,assays
Q900488,modes
Q217111,decreased
Q11345,equations
Q781546,feasibility
Q1641839,Experimental
Q217295,masses
Q39369,GHz
Q5227352,datasets
Q761660,Information
Q670,silicon
Q741252,exhibits
Q18208034,indicators
Q427492,inhibitors
Q491781,coefficients
Q3445057,Future
Q131541,State
Q946676,inline
Q380546,sequences
Q84230,secretion
Q17098585,hypothesized
Q920915,emphasize
Q3044285,and
Q50707,composite
Q413,physique
Q215772,emergence
Q68685,pathways
Q748250,prediction
Q175821,µm
Q2146302,retrospective study
Q458,EU
Q133805,occurrence
Q1934287,derivatives
Q32131,org
Q1316633,El
Q37017,fois
Q215328,excitation
Q45045,simulated
Q3707858,specimens
Q11466,température
Q2644088,ratios
Q6926780,dramatically
Q425265,significant difference
Q43054,neurons
Q2408310,systematically
Q7877,electrochemical
Q178659,illustrates
Q898226,defects
Q1778788,cohort
Q170474,modulation
Q2161141,reduces
Q191807,fluorescence
Q1137203,deposited
Q483921,adaptation
Q12119506,substrates
Q5589178,regimes
Q864574,biomarkers
Q103191,homeostasis
Q183216,analytical
Q3298452,Material
Q266237,curves
Q1113676,Combining
Q1637543,progression
Q828130,pathways
Q37813,ecosystem
Q187997,vegetation
Q425265,statistically significant
Q53859,configuration
Q659390,construct
Q427492,inhibitor
Q725417,calculations
Q13649246,uncertainties
Q81163,polymers
Q656365,employing
Q222947,three-dimensional
Q11376,acceleration
Q176763,Evidence
Q12246850,mechanical properties
Q7208,pathologie
Q380344,summarize
Q33123,degradation
Q8054,Protein
Q3910834,sobre
Q5891,philosophie
Q1971873,traits
Q41719,hypotheses
Q26886,combines
Q875490,systematic
Q706,calcium
Q13632074,Children
Q5283007,distinguish
Q617395,Water
Q1650350,prospectively
Q131669,distributions
Q19933904,heterogeneous
Q11471,temporal
Q14599311,apoptosis
Q210127,perspectives
Q17080996,0.4
Q1826415,Evidence
Q174576,activation
Q208467,receptor
Q556,hydrogen
Q207116,alteration
Q85756516,Des
Q827023,lesion
Q34929,spatial
Q33608,cet
Q352099,inherent
Q960011,owing
Q7432,espèce
Q4421045,real-time
Q66055,fraction
Q471806,Surface
Q231455,sous
Q2,crucial role
Q4736392,varies
Q2362275,substrate
Q3045347,experimentally
Q30600472,Nous
Q988780,induce
Q189159,proliferation
Q543,prevents
Q1653030,elucidate
Q13553575,absorption
Q402478,fluctuations
Q178161,priori
Q11582,ml
Q1988917,data analysis
Q33999,acteur
Q3766304,unclear
Q108619332,Background
Q1153832,synthesized
Q180184,sediment
Q179661,therapies
Q177900,transcription
Q27058,approximation
Q1326471,progression
Q11190,médecine
Q174211,synthetic
Q931309,diagnostic
Q11451,agriculture
Q5249659,decreasing
Q849893,extraction
Q56404,nos
Q26972,expressing
Q411391,induces
Q42291635,Response
Q82682,reduces
Q192572,simulations
Q1370468,reconstruction
Q336,science
Q484511,induction
Q736917,Formation
Q6958279,Evaluation
Q964912,indicators
Q4995178,conserved
Q7574981,Specific
Q128581,breast cancer
Q622821,calculations
Q46857,démarche
Q7141,cellular
Q16903610,excluded
Q183,Germany
Q1331926,decision-making
Q534851,HR
Q1672937,uncertain
Q39086148,originating
Q8563381,introduces
Q1071239,stochastic
Q14169499,comparative
Q17013331,feasible
Q21198,informatique
Q2088357,ensemble
Q845060,optimal
Q1606712,transitions
Q5270955,enhancement
Q1074539,designing
Q216042,acute
Q1400808,persistence
Q7604383,assumptions
Q14324486,assumptions
Q5532477,generalized
Q18748,reliability
Q7937,climatic
Q1472529,relevance
Q804517,bacterial
Q19895024,forme
Q1188986,long-term
Q11563,numerical
Q25257,precipitation
Q38,Italy
Q43201039,comprises
Q781833,temporal
Q183945,Production
Q2113324,prospective
Q38311,morphology
Q200726,distributions
Q153556,ranged
Q828130,signaling
Q273499,synthesis
Q3444730,downstream
Q208762,examining
Q679989,complexes
Q15298698,Investigation
Q2622112,dependence
Q332102,phenomena
Q99,Ca
Q1057,metabolic
Q656287,Health
Q186588,time series
Q217602,analyze
Q106016,genotype
Q176140,electrode
Q1155562,rapport
Q269829,placebo
Q104795308,variants
Q4929239,data collected
Q488152,analyzing
Q1153189,indirect
Q33005760,point of view
Q30,United States
Q15,Afrique
Q7632159,substrate
Q951437,numerical
Q1332643,boundary conditions
Q17430655,adjustment
Q721237,50%
Q11652,frequencies
Q815758,scarce
Q104053,phenotypes
Q420927,complexes
Q176140,electrodes
Q7303106,recruited
Q29,Spain
Q128406,pharmacological
Q5260389,Materials
Q2003140,Aim
Q2346,analyse
Q411391,regulated
Q942344,detectable
Q2975790,abundance
Q19720704,evaluations
Q132364,protocols
Q1504425,systematic review
Q22688281,2 years
Q193139,trajectory
Q461671,constraints
Q2225,electrons
Q196626,contexts
Q5172674,corpus
Q681194,International
Q1755504,invasive
Q272035,precision
Q6634104,CI
Q28643,paradigm
Q188867,future research
Q303469,significantly increased
Q1132113,Test
Q691463,susceptibility
Q7015,XVIIIe siècle
Q2361306,defining
Q4114622,stimulation
Q2346783,nouvelle
Q170065,pathogen
Q33825,Unlike
Q3745428,negatively
Q1717246,prévention
Q210973,signaling
Q6934595,multicenter
Q5636358,displacement
Q7902862,utilization
Q146481,domains
Q522046,arising
Q655362,morphology
Q721113,Evolution
Q222910,retrospective
Q5280239,Direct
Q3064129,facilitate
Q24963608,in-depth
Q2778431,mixtures
Q1971426,optimal
Q3045304,Detection
Q2623243,modelling
Q107,spatial
Q12541,Risk
Q458,European Union
Q4914982,constrained
Q1139493,residual
Q425265,Significant
Q8513,databases
Q7497908,complement
Q7114795,interval
Q1359990,Applications
Q13631059,calibration
Q60740768,Energy
Q6489030,Large
Q1457993,Combined
Q1645075,adaptive
Q242736,phosphorylation
Q6825209,5 years
Q1255282,convergence
Q272404,finite
Q778379,expressions
Q18562917,celles-ci
Q309314,quantitative
Q5535329,resistant
Q1985727,theoretically
Q82069695,SARS-CoV-2
Q4751091,Analysis
Q970141,combinations
Q272026,poly
Q7551193,inhibition
Q1133221,documented
Q8054,protéine
Q734209,generates
Q674676,Prediction
Q181790,composites
Q12174,obesity
Q36133,soils
Q182893,dispersion
Q1971485,reduces
Q1216998,tumors
Q478798,imaging
Q30597847,Process
Q30612,étude rétrospective
Q2423459,deployment
Q871279,deposition
Q4795516,tissues
Q6881260,prolonged
Q1211967,traits
Q2509271,broader
Q2737837,irradiation
Q192036,degradation
Q50690,oxide
Q148,Chine
Q1738955,characterised
Q183365,imply
Q3993516,globally
Q4048186,representations
Q491781,coefficient
Q172847,peptides
Q81715,barriers
Q1951661,counterparts
Q79460,antibody
Q189603,santé publique
Q190898,centered
Q192704,efficiently
Q622821,calculate
Q3342956,validate
Q4918,Mediterranean
Q7239583,predictors
Q7187,gènes
Q216681,situ
Q2450590,travers
Q1474701,propagation
Q1377044,gaps
Q2919644,validated
Q2275191,Discussion
Q5173061,implicated
Q68685,metabolic
Q4156986,decomposition
Q11851202,Local
Q2346,analytical
Q18354462,straightforward
Q41493,Antiquité
Q855769,isolates
Q52105,habitat
Q182003,injection
Q712378,organs
Q16837804,sous
Q271680,framework
Q285982,endogenous
Q1245902,spectral
Q5260784,deposition
Q909121,Physical
Q3427423,inducing
Q622821,calculation
Q2658457,sequential
Q27058,estimation
Q30,États-Unis
Q4477763,constraints
Q2473660,intake
Q849697,PhD
Q1761108,matched
Q66295,derivatives
Q4574282,stabilized
Q52105,habitats
Q2671652,diagnostic
Q31009,stabilization
Q3930246,hazard ratio
Q756,Plant
Q592442,prognostic
Q1172284,dataset
Q1308,como
Q353508,1D
Q42918,variants
Q2919644,validation
Q211036,stimulation
Q23891183,Additional
Q3481047,ratios
Q971505,compute
Q898814,oxidative stress
Q1570691,adaptive
Q412438,Optimization
Q146505,solvent
Q3182448,predictive
Q1952580,multivariate analysis
Q22348500,1.2
Q844704,extraction
Q521,physiology
Q4698354,continuously
Q523607,Evaluation
Q965330,estimating
Q4808758,Assessment
Q39001,traces
Q815382,meta-analysis
Q329477,distances
Q318,galaxies
Q1755089,qualitative
Q1758425,propagation
Q466686,anisotropy
Q1786344,thickness
Q6822932,assay
Q19933904,homogeneous
Q265224,matched
Q836133,equilibrium
Q658882,targeting
Q22856,densities
Q660,Mg
Q39369,Hz
Q15935290,Interaction
Q43116,particle
Q395,mathématiques
Q7336268,risk factors
Q4503831,Objectives
Q7068046,experimental data
Q471241,bis
Q18123741,infection
Q1626021,seasonal
Q835769,triggers
Q7061741,lengths
Q106808925,deformation
Q2727213,Taking
Q1862216,odds ratio
Q28955954,Level
Q663793,Elsevier
Q190132,turbulence
Q5421265,explicit
Q22348500,1.1
Q7239678,predicting
Q2944353,Hybrid
Q49957,Large
Q5159092,overlap
Q2024289,participated
Q1398023,yr
Q1078003,preferentially
Q16189205,vicinity
Q186290,correlated
Q925667,simulated
Q3614685,initiated
Q9332,behaviors
Q494756,datasets
Q865493,modify
Q116269,silica
Q22954030,Active
Q629962,arbitrary
Q7094,biochemical
Q4691924,onset
Q2585724,assessed
Q3559613,1.3
Q1610017,simulate
Q41861,hypertension
Q212354,cytokines
Q7520642,Simple
Q1266946,travail de thèse
Q193139,trajectories
Q7805271,dissemination
Q16166142,Review
Q25412682,elle
Q9121,atom
Q128709,viscosity
Q1979054,open access
Q6534997,shifts
Q173212,architectures
Q217602,Analysis
Q493615,markers
Q1416904,Social
Q1860,English
Q2421034,averaged
Q486902,modeled
Q805240,pas
Q2647254,Study
Q3403894,prise en compte
Q452395,administered
Q755009,feasibility
Q80026,erosion
Q623429,reconstruction
Q3198,photon
Q101991,inflammatory
Q280413,CNRS
Q104849956,Measurement
Q6825209,1 year
Q7187,gène
Q845777,variability
Q3391255,planar
Q7144958,Patient
Q1116876,modelling
Q1475848,risk factor
Q668,India
Q1664563,Insights
Q3563181,retention
Q686822,introduces
Q3505712,médecins généralistes
Q1437823,formulated
Q2210319,reconstructed
Q4692,Renaissance
Q6068611,remains unclear
Q3521063,previous work
Q2348,neutron
Q7836899,control group
Q24862,Short
Q1434958,35%
Q787208,automated
Q1426166,curves
Q840326,Open
Q184204,macrophages
Q1479412,propagation
Q60528603,contamination
Q2458611,longitudinal
Q104901896,1.0
Q2447979,Higher
Q7020,genomic
Q2253019,versatile
Q43521,Age
Q925667,numerical simulations
Q3538001,implementing
Q1621273,particle
Q1038886,imaging
Q4545528,0.9
Q106227,locus
Q34777,X-ray
Q12136,morbidity
Q44337,matrices
Q1361864,descriptions
Q1581819,matrices
Q1899048,limitation
Q2598033,pseudo
Q79749,serum
Q550089,surveys
Q106016,genotypes
Q38867,laser
Q2200417,cognition
Q323336,Factors
Q4671160,accelerated
Q3516404,systematic
Q16,Canada
Q2114846,specimens
Q1251001,doses
Q25670,doi
Q5299133,dos
Q7380503,sur
Q133235,combustion
Q904929,homogeneous
Q215844,continuum
Q897511,analyse
Q1425625,reproducibility
Q2610915,Par
Q1766279,negligible
Q185614,simplified
Q446907,intrinsic
Q210947,inputs
Q658,sodium
Q2722365,alignment
Q178546,determinant
Q1156793,optimize
Q189101,proliferation
Q309,Histoire
Q808,viruses
Q18378458,two-dimensional
Q5227352,data set
Q73112,examines
Q30752330,constitue
Q180907,correspond
Q113796,precipitation
Q5610722,determines
Q2086116,adapt
Q200871,HAL
Q3039934,compares
Q5275282,Differences
Q808,virus
Q5165186,contexts
Q145,UK
Q4771260,Measurements
Q3045021,variance
Q1132755,logistic regression
Q586459,inferred
Q1195184,collisions
Q65943,theorem
Q7754,analytical
Q456,Lyon
Q159375,standard deviation
Q190771,ensuite
Q179310,compute
Q2412849,literature review
Q161238,IRM
Q181790,composite
Q3368239,incomplete
Q133900,diffraction
Q1172480,structured
Q175199,variance
Q6045219,Interactions
Q11990,propagation
Q7644639,suppression
Q180686,PubMed
Q4914025,selective
Q3071515,Field
Q841985,domains
Q185168,quantitative
Q604674,sensing
Q181394,nutrient
Q82264,catalyst
Q1820504,Les
Q12498580,minimize
Q7251920,protocols
Q848197,fractions
Q7098804,Optical
Q217602,analyzed
Q4610556,modeled
Q1283324,yielded
Q323936,kinetics
Q6549469,limitation
Q30,USA
Q11287,exploit
Q1055887,simplified
Q7897366,unrelated
Q13220368,representations
Q1410440,parameter
Q25312687,metallic
Q744,Ni
Q11068,vascular
Q46221,electric field
Q185553,phases
Q131201,développement durable
Q217602,analyzes
Q23498,Archéologie
Q15787,HIV
Q2478124,initiation
Q691640,high-quality
Q7317724,impairment
Q7429714,Scale
Q8078,logique
Q3212226,Potential
Q23808,interfaces
Q3935810,relaxation
Q5163219,consistency
Q2123335,Properties
Q82990,Numerical
Q734209,generating
Q1651704,et/ou
Q1665389,robustness
Q11379,energies
Q38526,Mn
Q188675,signatures
Q974213,imaging
Q4254955,horizontal
Q47774,France
Q101965,experimentally
Q7162,genetics
Q46220103,phosphate
Q48768028,Nowadays
Q56318457,calculate
Q7632159,substrates
Q7397,logiciel
Q6500,und
Q1457734,recurrent
Q531849,necessity
Q26218274,individually
Q190995,essentiellement
Q321095,scanning electron microscopy
Q39833,microorganisms
Q4915012,pathway
Q2473359,methodological
Q192210,analyses
Q1066177,shaping
Q7979724,Ni
Q5094641,chez
Q108101703,Enhanced
Q4407,methyl
Q2495354,enhancement
Q835153,examines
Q6001146,ils
Q11369,Molecular
Q11388,infrared
Q103537,antigen
Q63391344,resistant
Q155,Brazil
Q193514,deformation
Q209402,NMR
Q21095433,2.0
Q7063059,notions
Q784645,implies
Q2725616,reproduce
Q339925,evolving
Q1968827,impacted
Q81938,assessing
Q1441305,symptomatic
Q83327,GeV
Q167,compute
Q1443451,utilized
Q193463,mechanical properties
Q411391,regulate
Q1047000,validate
Q16850936,substitution
Q5264333,model based
Q7377,mammals
Q40821,postoperative
Q27961549,firstly
Q18394423,time-dependent
Q1266967,develops
Q726718,Context
Q12769938,quantification
Q232207,simulated
Q518730,orders of magnitude
Q15978631,human
Q9332,behavioral
Q11068,systemic
Q758,Zn
Q5073781,characterize
Q622669,porosity
Q12525525,compute
Q622669,porous
Q440296,scaling
Q1670,Main
Q23404,anthropologie
Q980509,embedded
Q11466,high temperature
Q2672013,deformation
Q910407,échelle
Q864574,marker
Q59461075,Growth
Q39833,microbial
Q7233190,corrected
Q667276,exhibited
Q1074845,33%
Q254465,similarities
Q3106966,Real
Q2476074,receptor
Q5449699,correlations
Q17084606,correspond
Q112762,cumulative
Q131774,adolescents
Q1440453,fragment
Q381442,structured
Q1125955,inputs
Q196372,discrepancies
Q11190,Medical
Q810247,baseline
Q466686,anisotropic
Q7239668,predictions
Q483921,adapt
Q488772,satisfying
Q8737769,discharge
Q90146873,preliminary results
Q16967996,putative
Q193040,embedded
Q170065,pathogens
Q40936,pH
Q5070155,unified
Q3062122,exploit
Q4440864,two-dimensional
Q51623,differs
Q1502698,residual
Q2945560,biomass
Q322742,regulated
Q771202,3.5
Q1193832,positively
Q11995,grossesse
Q736634,detector
Q339062,decomposition
Q488415,distal
Q11188,85%
Q405372,instability
Q19933904,heterogeneity
Q18848,module
Q82580,friction
Q2272475,indices
Q4072819,closely related
Q8066,amino acids
Q11476,kinematics
Q2303305,constraint
Q3024668,Association
Q79460,anticorps
Q134435,topography
Q214098,radial
